run,label,hbf_bytes,ota_cmd,timestamp,sr_file
run01,VCP_9600_b1b2,9424,"./toolchain/modules/update_tool/update-tool-mqtt -i 127.0.0.1 -p 1883 -t bthermo_vcp -v true flash-component -f /home/rushnan-reaz/concept-os/components/bthermo/core/bthermo.hbf",2026-07-29T02:50:04+06:00,/home/rushnan-reaz/concept-os/analysis/output/ConceptOS/VCP_9600_b1b2/run01.sr
run02,VCP_9600_b1b2,9424,"./toolchain/modules/update_tool/update-tool-mqtt -i 127.0.0.1 -p 1883 -t bthermo_vcp -v true flash-component -f /home/rushnan-reaz/concept-os/components/bthermo/core/bthermo.hbf",2026-07-29T02:50:52+06:00,/home/rushnan-reaz/concept-os/analysis/output/ConceptOS/VCP_9600_b1b2/run02.sr
run03,VCP_9600_b1b2,9424,"./toolchain/modules/update_tool/update-tool-mqtt -i 127.0.0.1 -p 1883 -t bthermo_vcp -v true flash-component -f /home/rushnan-reaz/concept-os/components/bthermo/core/bthermo.hbf",2026-07-29T02:51:41+06:00,/home/rushnan-reaz/concept-os/analysis/output/ConceptOS/VCP_9600_b1b2/run03.sr
run04,VCP_9600_b1b2,9424,"./toolchain/modules/update_tool/update-tool-mqtt -i 127.0.0.1 -p 1883 -t bthermo_vcp -v true flash-component -f /home/rushnan-reaz/concept-os/components/bthermo/core/bthermo.hbf",2026-07-29T02:52:30+06:00,/home/rushnan-reaz/concept-os/analysis/output/ConceptOS/VCP_9600_b1b2/run04.sr
run05,VCP_9600_b1b2,9424,"./toolchain/modules/update_tool/update-tool-mqtt -i 127.0.0.1 -p 1883 -t bthermo_vcp -v true flash-component -f /home/rushnan-reaz/concept-os/components/bthermo/core/bthermo.hbf",2026-07-29T02:53:17+06:00,/home/rushnan-reaz/concept-os/analysis/output/ConceptOS/VCP_9600_b1b2/run05.sr
