run,label,hbf_bytes,ota_cmd,timestamp,sr_file
run01,VCP_115200,9360,"./toolchain/modules/update_tool/update-tool-mqtt -i 127.0.0.1 -p 1883 -t bthermo_vcp -v true flash-component -f /home/rushnan-reaz/concept-os/components/bthermo/core/bthermo.hbf",2026-07-28T07:21:47+06:00,/home/rushnan-reaz/concept-os/analysis/output/ConceptOS/VCP_115200/run01.sr
run02,VCP_115200,9360,"./toolchain/modules/update_tool/update-tool-mqtt -i 127.0.0.1 -p 1883 -t bthermo_vcp -v true flash-component -f /home/rushnan-reaz/concept-os/components/bthermo/core/bthermo.hbf",2026-07-28T07:22:39+06:00,/home/rushnan-reaz/concept-os/analysis/output/ConceptOS/VCP_115200/run02.sr
run03,VCP_115200,9360,"./toolchain/modules/update_tool/update-tool-mqtt -i 127.0.0.1 -p 1883 -t bthermo_vcp -v true flash-component -f /home/rushnan-reaz/concept-os/components/bthermo/core/bthermo.hbf",2026-07-28T07:23:25+06:00,/home/rushnan-reaz/concept-os/analysis/output/ConceptOS/VCP_115200/run03.sr
run04,VCP_115200,9360,"./toolchain/modules/update_tool/update-tool-mqtt -i 127.0.0.1 -p 1883 -t bthermo_vcp -v true flash-component -f /home/rushnan-reaz/concept-os/components/bthermo/core/bthermo.hbf",2026-07-28T07:24:14+06:00,/home/rushnan-reaz/concept-os/analysis/output/ConceptOS/VCP_115200/run04.sr
run05,VCP_115200,9360,"./toolchain/modules/update_tool/update-tool-mqtt -i 127.0.0.1 -p 1883 -t bthermo_vcp -v true flash-component -f /home/rushnan-reaz/concept-os/components/bthermo/core/bthermo.hbf",2026-07-28T07:25:06+06:00,/home/rushnan-reaz/concept-os/analysis/output/ConceptOS/VCP_115200/run05.sr
run01,VCP_115200,9424,"./toolchain/modules/update_tool/update-tool-mqtt -i 127.0.0.1 -p 1883 -t bthermo_vcp -v true flash-component -f /home/rushnan-reaz/concept-os/components/bthermo/core/bthermo.hbf",2026-07-29T00:48:15+06:00,/home/rushnan-reaz/concept-os/analysis/output/ConceptOS/VCP_115200/run01.sr
run02,VCP_115200,9424,"./toolchain/modules/update_tool/update-tool-mqtt -i 127.0.0.1 -p 1883 -t bthermo_vcp -v true flash-component -f /home/rushnan-reaz/concept-os/components/bthermo/core/bthermo.hbf",2026-07-29T00:49:05+06:00,/home/rushnan-reaz/concept-os/analysis/output/ConceptOS/VCP_115200/run02.sr
run03,VCP_115200,9424,"./toolchain/modules/update_tool/update-tool-mqtt -i 127.0.0.1 -p 1883 -t bthermo_vcp -v true flash-component -f /home/rushnan-reaz/concept-os/components/bthermo/core/bthermo.hbf",2026-07-29T00:49:54+06:00,/home/rushnan-reaz/concept-os/analysis/output/ConceptOS/VCP_115200/run03.sr
run04,VCP_115200,9424,"./toolchain/modules/update_tool/update-tool-mqtt -i 127.0.0.1 -p 1883 -t bthermo_vcp -v true flash-component -f /home/rushnan-reaz/concept-os/components/bthermo/core/bthermo.hbf",2026-07-29T00:50:42+06:00,/home/rushnan-reaz/concept-os/analysis/output/ConceptOS/VCP_115200/run04.sr
run05,VCP_115200,9424,"./toolchain/modules/update_tool/update-tool-mqtt -i 127.0.0.1 -p 1883 -t bthermo_vcp -v true flash-component -f /home/rushnan-reaz/concept-os/components/bthermo/core/bthermo.hbf",2026-07-29T00:51:30+06:00,/home/rushnan-reaz/concept-os/analysis/output/ConceptOS/VCP_115200/run05.sr
