run,label,hbf_bytes,ota_cmd,timestamp,sr_file
run01,BT_9600_b1b2,9424,"./toolchain/modules/update_tool/update-tool-mqtt -i 127.0.0.1 -p 1883 -t bthermo -v true flash-component -f /home/rushnan-reaz/concept-os/components/bthermo/core/bthermo.hbf",2026-07-29T03:00:25+06:00,/home/rushnan-reaz/concept-os/analysis/output/ConceptOS/BT_9600_b1b2/run01.sr
run02,BT_9600_b1b2,9424,"./toolchain/modules/update_tool/update-tool-mqtt -i 127.0.0.1 -p 1883 -t bthermo -v true flash-component -f /home/rushnan-reaz/concept-os/components/bthermo/core/bthermo.hbf",2026-07-29T03:01:12+06:00,/home/rushnan-reaz/concept-os/analysis/output/ConceptOS/BT_9600_b1b2/run02.sr
run03,BT_9600_b1b2,9424,"./toolchain/modules/update_tool/update-tool-mqtt -i 127.0.0.1 -p 1883 -t bthermo -v true flash-component -f /home/rushnan-reaz/concept-os/components/bthermo/core/bthermo.hbf",2026-07-29T03:01:59+06:00,/home/rushnan-reaz/concept-os/analysis/output/ConceptOS/BT_9600_b1b2/run03.sr
run04,BT_9600_b1b2,9424,"./toolchain/modules/update_tool/update-tool-mqtt -i 127.0.0.1 -p 1883 -t bthermo -v true flash-component -f /home/rushnan-reaz/concept-os/components/bthermo/core/bthermo.hbf",2026-07-29T03:02:46+06:00,/home/rushnan-reaz/concept-os/analysis/output/ConceptOS/BT_9600_b1b2/run04.sr
run05,BT_9600_b1b2,9424,"./toolchain/modules/update_tool/update-tool-mqtt -i 127.0.0.1 -p 1883 -t bthermo -v true flash-component -f /home/rushnan-reaz/concept-os/components/bthermo/core/bthermo.hbf",2026-07-29T03:03:33+06:00,/home/rushnan-reaz/concept-os/analysis/output/ConceptOS/BT_9600_b1b2/run05.sr
